Train_y,Train_pred_y
0.0,-0.041173935
0.0,-0.04114991
0.0,-0.04112152
0.0,-0.041126978
0.0,-0.041145544
0.0,-0.041173935
0.0,-0.041184857
0.0,-0.041163016
0.0,-0.041168477
0.0,-0.041176118
0.0,-0.041160833
0.0,-0.04113899
0.0,-0.04114991
0.0,-0.041158646
0.0,-0.041167382
0.0,-0.04118704
0.0,-0.041193593
0.0,-0.041192498
0.0,-0.04118704
0.0,-0.041191407
0.0,-0.041173935
0.0,-0.041158646
0.0,-0.041176118
0.0,-0.041156463
0.0,-0.041145544
0.0,-0.041163016
0.0,-0.04118267
0.0,-0.041168477
0.0,-0.041163016
0.0,-0.041180488
0.0,-0.04118267
0.0,-0.041163016
0.0,-0.041097496
0.0,-0.041093126
0.0,-0.04111715
0.0,-0.04110186
0.0,-0.041108415
0.0,-0.04112043
0.0,-0.041152097
0.0,-0.041143358
0.0,-0.041147728
0.0,-0.041158646
0.0,-0.041189224
0.0,-0.041179396
0.0,-0.041160833
0.0,-0.041176118
0.0,-0.041195776
0.0,-0.041158646
0.0,-0.04113681
0.0,-0.04118267
0.0,-0.04120888
0.0,-0.041189224
0.0,-0.041147728
0.0,-0.04114991
0.0,-0.0411652
0.0,-0.041160833
0.0,-0.04115428
0.0,-0.041194685
0.0,-0.0412198
0.0,-0.0412198
0.0,-0.041227445
0.0,-0.041205604
0.0,-0.041191407
0.0,-0.041171752
0.0,-0.041146636
0.0,-0.04116629
0.0,-0.04114991
0.0,-0.041168477
0.0,-0.041167382
0.0,-0.041183762
0.0,-0.041209973
0.0,-0.041227445
0.0,-0.0412198
0.0,-0.04119796
0.0,-0.041176118
0.0,-0.04119796
0.0,-0.041200142
0.0,-0.04115537
0.0,-0.04113681
0.0,-0.041140083
0.0,-0.041143358
0.0,-0.041159738
0.0,-0.041145544
0.0,-0.041141175
0.0,-0.041145544
0.0,-0.041176118
0.0,-0.041212156
0.0,-0.04121871
0.0,-0.041237272
0.0,-0.0412198
0.0,-0.041200142
0.0,-0.041232903
0.0,-0.041249283
0.0,-0.04120888
0.0,-0.041189224
0.0,-0.041213248
0.0,-0.041227445
0.0,-0.041190315
0.0,-0.041163016
0.0,-0.041193593
0.0,-0.04121543
0.0,-0.041189224
0.0,-0.041176118
0.0,-0.04120233
0.0,-0.04123509
0.0,-0.04123509
0.0,-0.0412198
0.0,-0.041213248
0.0,-0.041189224
0.0,-0.041128073
0.0,-0.041112784
0.0,-0.04114882
0.0,-0.041171752
0.0,-0.041158646
0.0,-0.0411652
0.0,-0.041195776
0.0,-0.041224167
0.0,-0.04119796
0.0,-0.041191407
0.0,-0.041180488
0.0,-0.04120888
0.0,-0.041192498
0.0,-0.04118267
0.0,-0.041211065
0.0,-0.041237272
0.0,-0.04121543
0.0,-0.041196868
0.0,-0.04120888
0.0,-0.04121543
0.0,-0.04116957
0.0,-0.041145544
0.0,-0.04119796
0.0,-0.041176118
0.0,-0.041158646
0.0,-0.04113899
0.0,-0.04116957
0.0,-0.041167382
0.0,-0.041143358
0.0,-0.041125886
0.0,-0.041160833
